Date,u,v
06/01/2018 7:30,-0.176971,-0.297374
06/01/2018 8:00,-0.212295,-0.359565
06/01/2018 8:30,-0.181124,-0.305221
06/01/2018 9:00,-0.14646,-2.45E-01
06/01/2018 9:30,-0.118151,-0.196086
06/01/2018 10:00,-0.0544375,-0.0880523
06/01/2018 10:30,0.115771,0.190775
06/01/2018 11:00,0.153035,0.266625
06/01/2018 11:30,0.0974914,0.166809
06/01/2018 12:00,0.143431,0.248437
06/01/2018 12:30,0.124219,0.215027
06/01/2018 13:00,0.139863,0.243954
06/01/2018 13:30,0.126569,0.219709
06/01/2018 14:00,0.169411,0.306305
06/01/2018 14:30,0.147394,0.261736
06/01/2018 15:00,0.165073,0.301739
06/01/2018 15:30,0.164953,0.306027
06/01/2018 16:00,0.167817,0.321559
06/01/2018 16:30,0.15408,0.270172
06/01/2018 17:00,0.163508,0.257736
06/01/2018 17:30,0.175337,0.275317
06/01/2018 18:00,0.161185,0.23053
06/01/2018 18:30,0.119933,0.133456
06/01/2018 19:00,0.14144,0.187806
06/01/2018 19:30,0.0879806,0.0971022
06/01/2018 20:00,0.126762,0.139322
06/01/2018 20:30,0.0583443,0.0510031
06/01/2018 21:00,0.0931549,8.08E-02
06/01/2018 21:30,0.0515855,0.0385434
06/01/2018 22:00,0.0458657,0.0282338
06/01/2018 22:30,0.0413594,0.0217604
06/01/2018 23:00,0.0367693,0.0200596
06/01/2018 23:30,0.0266511,0.00854005
07/01/2018 0:00,0.0103231,-0.00265113
07/01/2018 0:30,0.0258301,0.0278537
07/01/2018 1:00,0.00936685,0.00949437
07/01/2018 1:30,-0.0293827,-0.0395411
07/01/2018 2:00,-0.0516344,-0.0787149
07/01/2018 2:30,-0.0659462,-0.102883
07/01/2018 3:00,-0.0600305,-0.0935322
07/01/2018 3:30,-0.0829733,-0.132375
07/01/2018 4:00,-0.0740539,-0.117217
07/01/2018 4:30,-0.0776899,-0.124026
07/01/2018 5:00,-0.0961126,-0.155553
07/01/2018 5:30,-0.11599,-0.190113
07/01/2018 6:00,-0.126128,-0.207987
07/01/2018 6:30,-0.150551,-0.250716
07/01/2018 7:00,-0.175911,-0.295359
07/01/2018 7:30,-0.183592,-0.309113
07/01/2018 8:00,-0.189036,-0.318824
07/01/2018 8:30,-0.18662,-0.31459
07/01/2018 9:00,-0.172445,-0.28995
07/01/2018 9:30,-0.113476,-0.188002
07/01/2018 10:00,-0.101041,-0.167077
07/01/2018 10:30,-0.063899,-0.104393
07/01/2018 11:00,2.05E-02,0.0327767
07/01/2018 11:30,0.060749,0.0987861
07/01/2018 12:00,-0.0271839,-0.0425217
07/01/2018 12:30,-0.0297748,-0.0467967
07/01/2018 13:00,0.14134,0.238416
07/01/2018 13:30,0.119114,0.205241
07/01/2018 14:00,0.173628,0.306726
07/01/2018 14:30,0.192707,0.348765
07/01/2018 15:00,0.213403,0.397393
07/01/2018 15:30,0.193424,0.356973
07/01/2018 16:00,0.21013,0.406537
07/01/2018 16:30,0.190355,0.359453
07/01/2018 17:00,0.183433,0.357826
07/01/2018 17:30,0.179109,0.334183
07/01/2018 18:00,0.175302,0.297604
07/01/2018 18:30,0.166849,0.264153
07/01/2018 19:00,0.177042,0.276004
07/01/2018 19:30,0.0928376,0.143985
07/01/2018 20:00,0.0869766,0.133585
07/01/2018 20:30,0.0490506,8.52E-02
07/01/2018 21:00,0.0522817,0.0767028
07/01/2018 21:30,0.0401795,0.0623798
07/01/2018 22:00,0.0378962,0.0393119
07/01/2018 22:30,0.0375605,0.0397916
07/01/2018 23:00,0.0466501,0.0328
07/01/2018 23:30,0.038516,0.0245487
08/01/2018 0:00,0.0397601,0.0263367
08/01/2018 0:30,0.0375607,0.00896535
08/01/2018 1:00,0.0358285,0.0329199
08/01/2018 1:30,0.0357919,0.043734
08/01/2018 2:00,0.0115186,-0.0026876
08/01/2018 2:30,0.0318673,0.0420326
08/01/2018 3:00,0.0088539,-0.00303618
08/01/2018 3:30,0.0253589,2.64E-02
08/01/2018 4:00,0.00644327,-0.00218919
08/01/2018 4:30,0.0123487,0.0117871
08/01/2018 5:00,0.00535887,0.00382229
08/01/2018 5:30,-0.0606618,-0.0906746
08/01/2018 6:00,-0.0742818,-0.11779
08/01/2018 6:30,-0.115787,-0.188701
08/01/2018 7:00,-0.133576,-0.220171
08/01/2018 7:30,-0.142954,-0.236928
08/01/2018 8:00,-0.156611,-0.261064
08/01/2018 8:30,-0.1511,-0.251828
08/01/2018 9:00,-0.164965,-0.276196
08/01/2018 9:30,-0.154444,-0.258057
08/01/2018 10:00,-0.165284,-0.277195
08/01/2018 10:30,-0.15021,-0.25105
